Title,Also Called,Condensed Summary,Physician
A1C,"Glycohemoglobin, HbA1C, Hemoglobin A1C test","A1C is a blood test for type 2 diabetes and prediabetes. It measures your average blood glucose, or blood sugar, level over the past 3 months.",Endocrinology
Abdominal Pain,Bellyache,"Your abdomen extends from below your chest to your groin. Some people call it the stomach, but your abdomen contains many other important organs.",Gastroenterology
Abortion,Induced Abortion,"An abortion is a procedure to end a pregnancy. It can be done two different ways: Medication abortion, which uses medicines to end the pregnancy.",Gynecology
Abscess,,An abscess is a pocket of pus. You can get an abscess almost anywhere in your body.,Infectious Disease
Acne,"Pimples, Zits",Acne is a common skin disease that causes pimples. Pimples form when hair follicles under your skin clog up.,Dermatology
Acoustic Neuroma,"Acoustic neurilemmoma, Acoustic neurinoma, Auditory tumor, Vestibular schwannoma",An acoustic neuroma is a benign tumor that develops on the nerve that connects the ear to the brain. The tumor usually grows slowly.,Neurology
Acupuncture,,Acupuncture has been practiced in China and other Asian countries for thousands of years. Acupuncture involves stimulating specific points on the body.,Integrative Medicine
Acute Bronchitis,,"Bronchitis is an inflammation of the bronchial tubes, the airways that carry air to your lungs. It causes a cough that often brings up mucus.",Pulmonology
Acute Flaccid Myelitis,AFM,What is acute flaccid myelitis (AFM)? Acute flaccid myelitis (AFM) is a neurologic disease.,Neurology
Acute Lymphocytic Leukemia,"ALL, Acute lymphoblastic leukemia",What is leukemia? Leukemia is a term for cancers of the blood cells.,"Hematology, Cardiology"
Acute Myeloid Leukemia,"AML, ANLL, Acute myelogenous leukemia",What is leukemia? Leukemia is a term for cancers of the blood cells.,"Hematology, Cardiology"
Addison Disease,"Adrenal insufficiency, Adrenocortical hypofunction, Hypocortisolism",Your adrenal glands are just above your kidneys. The outside layer of these glands makes hormones that help your body respond to stress and regulate your blood pressure and water and salt balance.,Endocrinology
Adenoids,,"What are adenoids? Adenoids are a patch of tissue that is high up in the throat, just behind the nose.",Otolaryngology
Adhesions,Abdominal adhesions,"Adhesions are bands of scar-like tissue. Normally, internal tissues and organs have slippery surfaces so they can shift easily as the body moves.",Gastroenterology
Adrenal Gland Cancer,,"Your adrenal, or suprarenal, glands are located on the top of each kidney. These glands produce hormones that you can't live without, including sex hormones and cortisol, which helps you respond to stress and has many other functions.",Endocrinology
